time,shoulder_pan_joint,elbow_joint,wrist_1_joint,wrist_2_joint,wrist_3_joint,shoulder_lift_joint,end_mill_joint
1754933387.528725,1.0235195674962692,-0.8604191579772591,-6.280000009217629,-6.280000014702846,-16.395514371676406,0.30342005334237493,499.38171909251395
1754933387.5389805,0.2623282073122407,3.140000000093465,6.280000003399658,-6.280000034481532,6.279999964648236,-0.12200191003983486,482.5610046742897
1754933387.5491502,-0.8503416662538611,1.3440570902167714,6.2800000100133335,6.280000006924751,6.279999975995852,-0.09889369598146877,473.87799675374015
1754933387.559577,-0.403550496140686,-2.4802536579708727,-6.280000001306037,6.2800000343906035,6.279999975156638,0.2749205548929996,479.23600993881644
1754933387.569387,0.8077694983734952,-1.9407344540541254,-6.280000011106981,0.35333430793631004,-6.280000033678735,0.44492377684893625,483.0854489324878
1754933387.5794008,0.45008433122336833,2.0965272742210823,3.554474800281172,-6.280000036149467,-8.957025854134953,0.041135326893310314,499.99999997410686
1754933387.5894308,-0.7743719916276901,2.164632876883335,6.280000010164125,0.3499345146978552,-16.41635983942365,-0.22761882957363455,495.20640171759993
1754933387.599567,-0.7820290057526111,-1.6817138702101593,-1.1669586478148029,6.280000034001084,6.279999974311479,0.1636804996358316,476.12028880260596
1754933387.609613,0.48866077773181615,-3.140000000578797,-6.280000010063562,6.280000012757682,6.279999962389514,0.5007530319044943,471.2297498776713
1754933387.6196818,0.7728495407829278,-0.23222412459079145,-1.557639324087251,-6.280000031232348,6.279999984745491,0.16027468877137613,469.37302431357205
1754933387.629762,-0.4349481216585668,2.1090422869195,6.280000008465556,-6.28000001968724,-6.2800000321030565,-0.23813844106869916,489.6080117142988
1754933387.6399171,-0.9572946221409065,-0.726396847268388,5.803578588380813,6.280000026603666,6.2800000007877,0.015269102910039578,468.5884586596442
1754933387.6499882,0.10711696478011562,-3.14000000078639,-6.2800000075096865,6.280000028408097,6.279999975209726,0.2836815257588803,472.60807950377705
1754933387.660206,0.939587184542357,-0.7471562454671813,-6.280000003733732,-6.280000022574313,-15.829349451709163,0.10343023862023913,495.9062714842308
1754933387.67023,0.06776539591213654,2.246473176372026,6.280000005551747,-6.280000031885503,6.2799999648601075,-0.06287361897185459,476.78976888141705
1754933387.6803577,-0.9208808111414862,0.49677989085711205,6.280000007086212,6.280000017121088,6.279999975646987,-0.0763181742759126,476.46259372722375
1754933387.6906192,-0.078643865735356,-3.140000000208969,-6.280000003579772,6.280000033531451,6.279999975485225,0.3001820361278251,480.79961300016936
1754933387.70045,1.0363081105904857,-1.5700141603787738,-6.280000010656247,-6.2800000096298465,-6.280000031982368,0.3671644672583738,485.82420606034924
1754933387.7103977,0.4665056243271324,3.052519755819941,6.280000002142173,-6.280000034956139,-10.452058795911649,-0.0830234759714215,499.99999997332037
1754933387.7207108,-0.7461184711275278,1.6764694950069066,6.280000010231555,6.280000002630987,-17.53551773581489,-0.16281837473081995,499.50725235215054
1754933387.7305932,-0.41209663363633164,-1.6169513798759187,-6.280000000040265,6.2800000345074025,6.279999975084696,0.002157688457871121,478.4383914003342
1754933387.740472,0.8738031270032001,-1.8447033545322364,-6.280000011032552,0.14661043833233556,6.279999962953923,0.41905390348668736,470.7365372341292
1754933387.750475,0.6313433935398416,2.1208761693205567,2.1818685698134397,-6.280000035427989,6.279999960480897,-0.025919603462324414,480.66487400841845
1754933387.7608364,-0.6876790772811526,2.5037742157831415,6.280000009741341,-6.28000000208368,-15.15999235726963,-0.2763514148447822,485.0557236526201
1754933387.7710996,-0.7924530525925566,-0.6327748479891645,-0.10724102792801915,6.280000032577988,-5.689119784914669,-0.025485303390489558,475.7462962041915
1754933387.7812655,0.536633901336907,-2.5849552254239234,-6.280000009979135,6.280000006012495,-19.78438166576244,0.5035365325708339,489.008975805549
1754933387.7914925,0.7732708380762151,0.3317652718152666,0.9689593213099967,-6.2800000325801975,-15.674965285277583,0.18582959281447733,496.328795869039
1754933387.8014588,-0.5622290756449451,2.180380089575966,6.2800000087439924,-6.280000012952279,-15.699068590634264,-0.21544248375695557,482.4924264422904
1754933387.811599,-0.7287651408634475,-0.90686593094991,0.8730165082219719,6.280000030704304,-5.200158747427111,-0.06426593559056135,469.8598542316772
1754933387.8218436,0.6265461478421213,-3.1400000003773147,-6.280000009643313,6.28000001333354,-6.280000037574064,0.46585888068372727,477.5145924552667
1754933387.83197,0.786715230056224,0.08076728730072791,-0.45117724233603773,-6.2800000312292035,-6.2800000061392725,0.12232681362833933,477.2987348986461
1754933387.8419738,-0.5522766872963774,2.3193287061281374,6.28000000858272,-6.280000014312391,-15.413821790121911,-0.2915371262018102,482.57519803431586
1754933387.8521533,-0.7811247976703403,-0.7189804659283301,0.8381507468651496,6.280000030273676,-4.606241859344091,-0.13640104619578566,470.8534361290957
1754933387.862156,0.5599676405954729,-3.140000000544849,-6.280000009431356,6.280000015712595,-6.280000025704457,0.4599748234385888,479.7252450734625
1754933387.872478,0.822523786155368,-0.0262702423086697,-2.116266825983124,-6.280000030013511,-6.2800000068447845,0.16987483863133643,476.3514845768525
1754933387.8823476,-0.49795003885364264,2.4151002890379276,6.280000008292246,-6.2800000166899395,-6.280000030708056,-0.25528719635312797,474.85832308948466
1754933387.8928633,-0.8249375950405122,-0.506464690068051,2.293201603697954,6.280000029070596,-3.946227435695608,-0.11469952325774695,469.6550296716353
1754933387.9026105,0.49663074570674837,-3.1400000003665336,-6.280000009040151,6.280000017479825,-6.280000025870185,0.45799527368569015,481.51989574258477
1754933387.9124205,0.8764050229705236,0.4225372175301261,-3.280319691340641,-6.280000029697813,6.279999963988334,0.11633750998631327,473.1773444753182
1754933387.922631,-0.30003363586263604,3.140000000477277,6.280000007720094,-6.280000026985494,6.279999965023241,-0.2528767763636434,471.942754298797
1754933387.9324942,-0.9810088540810087,0.3952748013226536,6.280000001343811,6.280000025705437,6.279999976841302,-0.0324724406523353,471.5672225543903
1754933387.9428148,0.0196012845558865,-2.5253786126203885,-6.280000006730483,6.28000002978462,6.27999997499694,0.3523810331250783,475.3760655883765
1754933387.952908,0.8373237655162646,-0.34774952807411097,-6.280000006575247,-6.280000018940154,-6.280000006196701,0.1619961076386749,487.04011686856586
1754933387.9632728,0.030945926806889623,3.1400000003241555,6.280000004358274,-6.280000034059164,-10.42534621296687,-0.14391792810559828,499.99999997311596
1754933387.9731526,-0.9696573126412783,1.443250283511067,6.28000001023576,6.280000011159942,-13.552476715631268,-0.1973472086377933,499.9999999679138
1754933387.9834337,-0.39047216655385175,-1.9812890628880275,-6.28000000128306,6.2800000347166645,6.279999975433791,0.08557921441251704,481.6727061651107
1754933387.993303,0.7926746173520397,-1.5936646919666067,-6.280000011140089,-0.18000905668099731,6.279999962183104,0.37258083782991785,471.2042381524112
1754933388.00338,0.48533432844291013,2.2878520582594435,3.136753607403844,-6.280000035863154,6.279999960290958,-0.03507932888942285,483.3688603934862
1754933388.0133905,-0.7967901842346966,2.2549069937837567,6.2800000101655264,-6.275489538828793,6.279999960400161,-0.3326140888478716,469.7248406389143
1754933388.0233834,-0.7647271670857759,-1.0063891989711076,0.0043172164763172205,6.280000033403418,6.280000002665267,-0.04104292098677392,470.2060767777656
1754933388.0335178,0.5388677820887517,-2.491359712004159,-6.2800000097417765,6.280000013300965,6.279999974094265,0.45095422911315075,468.30349234329833
1754933388.043582,0.8100575119935955,-0.250938694353084,-3.3864862855467575,-6.280000030665978,6.27999998550091,0.18817967955740092,471.75780066108445
